rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000003	0.1715687152070627	-1.0260454103796546	3.8055034249260355	-0.2696214654962758	0.78745148465844	NA
FBgn0000008	95.14407899631335	-0.00215142369234105	0.2238838047633764	-0.009609554807302374	0.9923328025859426	0.996927101169858
FBgn0000014	1.0565721934616605	0.49673556850872663	2.160264258684384	0.22994203904074315	0.8181368089951794	NA
FBgn0000015	0.8467232749877087	1.8827617025067513	2.1064322345509074	0.8938154627642969	0.371420634540639	NA
FBgn0000017	4352.592898793501	0.24002523000309312	0.126024321525666	1.9045945028492757	0.05683280171930611	0.28236113375403193
FBgn0000018	418.61493050512235	0.10479911223675747	0.14828028995862572	0.7067636046975584	0.479713395567901	0.8239072619297647
FBgn0000022	0.0796749105101128	0.7197636852045819	3.81458895662518	0.18868708880271254	0.8503380714592127	NA
FBgn0000024	6.406289194769609	-0.21080708426942793	0.6903485364380414	-0.30536326673062747	0.7600894954260455	NA
FBgn0000028	0.4389000240850166	-1.4142147108229384	2.7795237331278395	-0.5087974943216266	0.6108941759207178	NA
FBgn0000032	989.730032286706	0.09190504851887786	0.14769743375868108	0.6222521690460722	0.5337760670738656	0.8497739491690481
FBgn0000036	0.5895963327298718	0.06544922103774374	2.3047708289125035	0.028397279337584156	0.9773452941017898	NA
FBgn0000037	14.094813865357805	-0.46306806019250485	0.491402582727011	-0.9423394920367221	0.3460188552025919	0.7409094241963398
FBgn0000038	0	NA	NA	NA	NA	NA
FBgn0000039	0.4389000240850166	-1.4142147108229384	2.7795237331278395	-0.5087974943216266	0.6108941759207178	NA
FBgn0000042	82207.7246355838	-0.31452484835540495	0.14054152785307292	-2.2379495453060705	0.025224345558498184	0.16453152671111315
FBgn0000043	31162.080098154784	-0.6195787321549391	0.12331757409239072	-5.024253328976004	5.053949057836461e-7	1.7239351642775762e-5
FBgn0000044	27.014216282908837	-0.4149728101649758	0.41472094745925453	-1.000607306448503	0.31701669634412394	0.7193125268570812
FBgn0000045	6.497687868246463	-0.15266193520931043	0.7138999300939224	-0.21384220501215886	0.8306701112895021	NA
FBgn0000046	23.68656558719292	-0.60423854767326	0.4610370572634543	-1.3106073322170606	0.18999046075796813	0.5690142514892295
FBgn0000047	9.274467683761415	-0.682066956504612	0.6581410003538769	-1.0363538453581684	0.30003709435549014	0.7028426778658363
FBgn0000052	2342.8783806335223	0.13549599915011426	0.1366967005211967	0.9912163105144132	0.3215799678559315	0.721371475391074
FBgn0000053	2100.2787686818574	-0.2960601245590756	0.13725734065974213	-2.1569711545920303	0.03100791205085393	0.18934618635308678
FBgn0000054	654.2882094975339	0.11992069861320283	0.11849631426950674	1.0120204949198377	0.31152825419937136	0.7131271355895531
FBgn0000055	0.08734367694653804	-0.9002942265914778	3.8101648829646195	-0.236287471604372	0.8132096079424729	NA
FBgn0000056	0	NA	NA	NA	NA	NA
FBgn0000057	682.6483178822937	0.023549850791993534	0.12158134091050159	0.1936962581234323	0.8464137219428548	0.963157296464086
FBgn0000061	1.5783526543290607	-0.3101064268777858	1.480057278621398	-0.20952326059072185	0.8340397790118325	NA
FBgn0000063	404.7717749590633	-0.2055927396035956	0.1299163448566202	-1.5825009534442664	0.11353525483012342	0.43032791417972666
FBgn0000064	7917.160806569243	-0.2995442536648882	0.10345668245216566	-2.8953591644830268	0.0037872493069010835	0.03923346058580153
